date,price
2023-01-18,1515.51
2023-01-19,1552.56
2023-01-20,1659.75
2023-01-21,1627.12
2023-01-22,1628.38
2023-01-23,1628.25
2023-01-24,1556.6
2023-01-25,1611.71
2023-01-26,1603.11
2023-01-27,1598.16
2023-01-28,1572.44
2023-01-29,1646.16
2023-01-30,1567.33
2023-01-31,1586.54
2023-02-01,1641.79
2023-02-02,1643.24
2023-02-03,1664.75
2023-02-04,1667.06
2023-02-05,1631.65
2023-02-06,1616.25
2023-02-07,1672.0
2023-02-08,1650.72
2023-02-09,1546.44
2023-02-10,1514.87
2023-02-11,1539.93
2023-02-12,1515.03
2023-02-13,1507.17
2023-02-14,1556.88
2023-02-15,1673.75
2023-02-16,1640.07
2023-02-17,1694.78
2023-02-18,1691.82
2023-02-19,1681.44
2023-02-20,1702.68
2023-02-21,1658.04
2023-02-22,1643.23
2023-02-23,1651.07
2023-02-24,1608.37
2023-02-25,1594.91
2023-02-26,1640.82
2023-02-27,1634.33
2023-02-28,1605.9
2023-03-01,1663.43
2023-03-02,1647.32
2023-03-03,1569.17
2023-03-04,1566.92
2023-03-05,1564.47
2023-03-06,1567.4
2023-03-07,1561.93
2023-03-08,1534.09
2023-03-09,1438.66
2023-03-10,1429.16
2023-03-11,1482.62
2023-03-12,1590.29
2023-03-13,1680.31
2023-03-14,1703.51
2023-03-15,1656.18
2023-03-16,1677.22
2023-03-17,1792.49
2023-03-18,1761.66
2023-03-19,1785.58
2023-03-20,1735.32
2023-03-21,1806.76
2023-03-22,1737.72
2023-03-23,1816.41
2023-03-24,1752.04
2023-03-25,1743.76
2023-03-26,1775.68
2023-03-27,1715.46
2023-03-28,1772.79
2023-03-29,1793.0
2023-03-30,1792.74
2023-03-31,1822.02
2023-04-01,1813.86
2023-04-02,1795.71
2023-04-03,1810.3
2023-04-04,1871.01
2023-04-05,1909.11
2023-04-06,1872.92
2023-04-07,1865.64
2023-04-08,1849.5
2023-04-09,1859.39
2023-04-10,1911.21
2023-04-11,1892.19
2023-04-12,1920.68
2023-04-13,2012.63
2023-04-14,2101.64
2023-04-15,2092.47
2023-04-16,2120.01
2023-04-17,2076.24
2023-04-18,2104.54
2023-04-19,1936.4
2023-04-20,1943.1
2023-04-21,1850.0
2023-04-22,1874.23
2023-04-23,1862.06
2023-04-24,1842.76
2023-04-25,1866.75
2023-04-26,1866.56
2023-04-27,1908.79
2023-04-28,1892.51
2023-04-29,1908.92
2023-04-30,1876.92
